# 1146
radius mass density pressure H He CO Fe
18689711.49164825 2.691349185137159e+32 8140857649.246036 6.893454691666921e+27 9.380180110838073e-07 0.0007976566281283818 0.07516743517538839 0.9236700490978981
18980372.337463144 2.7953567715427815e+32 8026511284.74673 6.772076389717896e+27 9.986847187306484e-07 0.0008299568570078466 0.07529153167245693 0.9235057668705217
19267260.66934182 2.8997030016789907e+32 7914012529.044759 6.653169895503915e+27 1.0646725808509306e-06 0.0008643880339797489 0.07538145089093475 0.9233728706594745
19550645.699662995 3.0043876047771896e+32 7803404171.320939 6.536631870019988e+27 1.13242093600205e-06 0.0008988644780555025 0.07538982087942936 0.923322124158524
19830778.471933752 3.109410300298049e+32 7694478818.921214 6.422370288075619e+27 1.2064502884846226e-06 0.0009358042103811629 0.07537646527628333 0.923290054033603
20107886.88081308 3.2147707979111248e+32 7587246101.470353 6.310297305525024e+27 1.2845057364690945e-06 0.000973692847210236 0.07523378129459765 0.9233862275156948
20382180.858407225 3.320468797474608e+32 7481642854.517197 6.200332362765233e+27 1.3665628365518757e-06 0.001011647608958646 0.07469221479805932 0.9238813200959098
20653861.233822245 3.4265039890156364e+32 7377421641.920052 6.092403454703025e+27 1.4609219403651697e-06 0.0010545295934566699 0.07419162316124778 0.9243284422457599
20923099.451427687 3.5328760527112954e+32 7274940693.9361725 5.986436129261296e+27 1.5510399271865956e-06 0.0010941943291483825 0.07361227525390228 0.9248596593750337
21190065.867947716 3.639584658869661e+32 7173834520.282332 5.882367915749416e+27 1.6497076760660389e-06 0.0011368197592282912 0.07303618300686755 0.9253839915065888
21454920.361818325 3.746629467911585e+32 7074029262.324624 5.780138953546274e+27 1.759719942641369e-06 0.001183497223508413 0.07247152740213793 0.9258918420231201
21717802.916468717 3.854010130352802e+32 6975738370.35572 5.679688792241633e+27 1.8690707919043447e-06 0.0012283250746543128 0.07154473225031327 0.9267644330701506
21978853.257407088 3.961726286786634e+32 6878680459.571925 5.580967128504088e+27 1.9900312929097464e-06 0.0012768858070509607 0.07049499126661599 0.9277554893540677
22238201.953185026 4.0697775678672554e+32 6782836794.408613 5.483922840392537e+27 2.1223793766101063e-06 0.0013289778223631145 0.06945991229794594 0.9287275728117751
22495970.616086222 4.178163594292848e+32 6688206585.02209 5.388507576964209e+27 2.265122451756299e-06 0.0013839689846651077 0.06843532728353814 0.9296857063922191
22752261.399447747 4.286883976789938e+32 6595082562.129053 5.29467320214026e+27 2.3963036530996126e-06 0.0014327319571429953 0.06738309565923496 0.930680621630778
23007189.949594744 4.39593831609798e+32 6502921207.507159 5.202382258318666e+27 2.5519015333456365e-06 0.0014895802929741886 0.06617089548737148 0.9318246866687538
23260862.278935768 4.505326202954096e+32 6411792768.865155 5.111594045848174e+27 2.7272314422504526e-06 0.0015519988930265199 0.06471906145846976 0.9332008060290248
23513373.779806823 4.615047218078783e+32 6321805876.289401 5.022268640328848e+27 2.911734630811717e-06 0.0016161359676060232 0.06330202794390984 0.934540311486272
23764806.28621409 4.725100932161749e+32 6233153343.175022 4.9343675877285694e+27 3.0857052873473807e-06 0.0016746771824903812 0.06191374685557749 0.9358595958587635
24015251.967240285 4.8354869058483584e+32 6145442312.895698 4.847860727453623e+27 3.281074798394551e-06 0.0017394237579870457 0.06055752899387474 0.9371391294534854
24264795.53814284 4.9462046897264885e+32 6058733937.43693 4.762714787436716e+27 3.4941770490689248e-06 0.0018084278612425233 0.059134887065508464 0.9384800437058943
24513516.540533565 5.057253824314079e+32 5973041699.080216 4.67889794404098e+27 3.722036487508684e-06 0.0018803183608141379 0.05763505598301431 0.9398947077329177
24761488.827570926 5.1686338400469976e+32 5888398968.753931 4.59638038137536e+27 3.957260225069087e-06 0.001952604005721 0.056181293979854524 0.9412635523573947
25008788.23814491 5.280344257267472e+32 5804663238.976643 4.515134865746355e+27 4.214841876902811e-06 0.002030418229411427 0.05475718106978873 0.9425964045463109
25255483.707729287 5.392384586212969e+32 5721910344.497122 4.435133332287731e+27 4.484643837058514e-06 0.0021101315240309943 0.05336871930368662 0.9438919608825407
25501638.8193532 5.5047543270055055e+32 5640183787.540179 4.3563490352149295e+27 4.766164826967343e-06 0.0021905055790546173 0.05182381790533994 0.9453436104902557
25747334.5309261 5.617452969641627e+32 5559011463.0536585 4.2787614445536494e+27 5.122404313389256e-06 0.00229094639955792 0.05020282071292123 0.9468460453829886
25992614.385343514 5.73047999398278e+32 5479176582.884478 4.202338775560277e+27 5.431425080134989e-06 0.0023744497926683006 0.048668993863626483 0.9482841068580593
26237543.50314932 5.843834869746223e+32 5400127992.93214 4.127063609004793e+27 5.774803691225001e-06 0.002465750769364287 0.04717652733113374 0.9496722245224234
26482181.611722708 5.9575170564964966e+32 5321928609.341368 4.052913487554016e+27 6.14280602515066e-06 0.0025614345900287854 0.04572334439449118 0.9510162834230746
26726586.59252772 6.071526003637122e+32 5244565885.868324 3.979867243765629e+27 6.5431510158141e-06 0.002662706133509497 0.044216956483882096 0.9524074121799811
26970810.294158436 6.185861150403356e+32 5168120266.139836 3.90790380553954e+27 6.950985736204418e-06 0.0027631530811139146 0.04276377528930413 0.9537473504641465
27214911.229962464 6.300521925854912e+32 5092404558.831718 3.8370055675764097e+27 7.404233406351412e-06 0.002872858090502568 0.04134993749723463 0.9550372618853127
27458934.977500062 6.4155077488695e+32 5017648049.139043 3.7671514013501177e+27 7.850468339018455e-06 0.0029776917979513376 0.039990732288783866 0.9562798306409344
27702935.610281628 6.530818028136785e+32 4943634974.191345 3.698325252515648e+27 8.346459943773725e-06 0.003091495403217224 0.03860414341311388 0.9575396563388798
27946962.800921384 6.646452162152713e+32 4870420111.792285 3.63050903640445e+27 8.875410941935568e-06 0.00320971748821441 0.03722132417571247 0.9587919892965415
28191063.24690298 6.762409539214768e+32 4798029624.189194 3.5636856338655026e+27 9.421838305723024e-06 0.003328655915789962 0.03588806195458265 0.9599946127876543
28435288.174940296 6.878689537417488e+32 4726343705.755232 3.4978399192115043e+27 1.0020129531041396e-05 0.0034564467237200463 0.03459382839560914 0.9611490395554595
28679684.733203027 6.995291524648278e+32 4655414906.846731 3.4329552935781166e+27 1.0656501596265707e-05 0.0035892520786931148 0.03333685107007299 0.9622609349428016
28924291.419487342 7.11221485858427e+32 4585381338.756634 3.3690146443726256e+27 1.1281332813904866e-05 0.003715187366399206 0.032109195275328024 0.9633532128140488
29169155.657870416 7.229458886689321e+32 4516048839.919597 3.306005225510632e+27 1.195349122735986e-05 0.0038480703064734797 0.030921086661528065 0.9643992146745469
29414322.28212048 7.347022946211582e+32 4447444291.015979 3.243913206930196e+27 1.2666306570526832e-05 0.0039859446057393 0.02977120257045882 0.965401751336134
29659834.13353944 7.464906364181822e+32 4379583671.205501 3.1827242375310646e+27 1.3408845012974152e-05 0.004126289648947502 0.028659366799638476 0.9663641456625437
29905734.791721195 7.583108457411868e+32 4312434860.678784 3.1224250772261426e+27 1.419661321957333e-05 0.004271584577104627 0.027569940561118014 0.9673000647574985
30152067.545808215 7.701628532494053e+32 4245986166.643887 3.063003131957092e+27 1.503251344562812e-05 0.004422396392737558 0.02651457568676935 0.9681965109459909
30398870.120400377 7.820465885800982e+32 4180317436.3444586 3.0044446854675296e+27 1.5871493539607055e-05 0.00456928465032187 0.025494707113899423 0.9690637041528157
30646189.670879364 7.939619803485857e+32 4115253395.702553 2.9467389394265737e+27 1.679974128541478e-05 0.004729432461296018 0.02450727803593059 0.9698833875243724
30767574.104386687 7.998119474728527e+32 4067322067.712235 2.9044017417010167e+27 1.7535219831338182e-05 0.004854127853694435 0.02379378904811702 0.9704665087735158
30877406.31960218 8.051058442090986e+32 4037383021.668792 2.878069215714461e+27 1.8041629328074183e-05 0.00493942577235546 0.023352526488479734 0.970817959851608
30976783.706541374 8.098965279956414e+32 4010711634.8705726 2.8544206521020914e+27 1.835646976853622e-05 0.004988476425200327 0.02296648845132567 0.9711564758638503
31142536.38093985 8.1788744255103e+32 3976780786.3839736 2.824656239866444e+27 1.894167477287937e-05 0.005084640365018221 0.022477241128923794 0.9715452852279096
31291997.670393527 8.250931339939656e+32 3936828392.991948 2.78967313386248e+27 1.9641743009680505e-05 0.005197816024399624 0.02191269893697634 0.9719921896584137
31457698.92828444 8.330818401920013e+32 3897413644.74374 2.7550555743537584e+27 2.0218188544915055e-05 0.005286110265116475 0.021362597421099246 0.9724549248419438
31641425.763348043 8.419386483448266e+32 3853957083.3748946 2.717116064823664e+27 2.097009164402077e-05 0.005402524036167449 0.02076544852548081 0.9729337805968029
31795651.324458588 8.493719684389262e+32 3812320626.6787777 2.6808917041631605e+27 2.173858985843124e-05 0.005520232911926945 0.020203126298736756 0.9733755360859068
31962549.114269603 8.574141263428373e+32 3773106332.466912 2.6468443768709e+27 2.247091278902245e-05 0.0056300676233061705 0.019679197415116225 0.9737887088712579
