# 1000
radius mass density pressure H He CO Fe
26475897874.840096 9.022906355880345e+31 37.77020158966147 1.8885100794830733e+17 1.0 1e-10 1e-10 1e-10
26747976822.771896 9.17487668433291e+31 37.38600517810565 1.8693002589052826e+17 1.0 1e-10 1e-10 1e-10
27021824136.004692 9.32905182070322e+31 37.007124129254095 1.8503562064627046e+17 1.0 1e-10 1e-10 1e-10
27297451307.95192 9.485461967218694e+31 36.633456681309056 1.8316728340654528e+17 1.0 1e-10 1e-10 1e-10
27574869906.72797 9.644137729396322e+31 36.26490363807703 1.8132451819038515e+17 1.0 1e-10 1e-10 1e-10
27854091575.633682 9.805110121363222e+31 35.90136828855636 1.7950684144278182e+17 1.0 1e-10 1e-10 1e-10
28135128033.645027 9.968410571247003e+31 35.54275632953093 1.7771378164765466e+17 1.0 1e-10 1e-10 1e-10
28417991075.904945 1.0134070926636828e+32 35.188975791039645 1.7594487895519824e+17 1.0 1e-10 1e-10 1e-10
28702692574.2184 1.0302123460116071e+32 34.839936964597854 1.7419968482298928e+17 1.0 1e-10 1e-10 1e-10
28989244477.550644 1.0472600874867561e+32 34.49555233405282 1.724777616702641e+17 1.0 1e-10 1e-10 1e-10
29277658812.52869 1.064553631035231e+32 34.15573650896134 1.707786825448067e+17 1.0 1e-10 1e-10 1e-10
29567947683.94611 1.0820963348062731e+32 33.82040616038255 1.6910203080191274e+17 1.0 1e-10 1e-10 1e-10
29860123275.27104 1.0998916017351288e+32 33.489479958984624 1.6744739979492314e+17 1.0 1e-10 1e-10 1e-10
30154197849.157562 1.117942880133556e+32 33.162878515368554 1.6581439257684278e+17 1.0 1e-10 1e-10 1e-10
30450183747.96031 1.1362536642880768e+32 32.84052432251692 1.642026216125846e+17 1.0 1e-10 1e-10 1e-10
30748093394.252556 1.154827495066069e+32 32.52234170027987 1.6261170850139933e+17 1.0 1e-10 1e-10 1e-10
31047939291.347504 1.1736679605298122e+32 32.20825674181481 1.6104128370907405e+17 1.0 1e-10 1e-10 1e-10
31349734023.823135 1.1927786965585747e+32 31.898197261899732 1.5949098630949866e+17 1.0 1e-10 1e-10 1e-10
31653490258.050335 1.212163387478864e+32 31.592092747044635 1.5796046373522317e+17 1.0 1e-10 1e-10 1e-10
31959220742.72451 1.2318257667029356e+32 31.28987430732801 1.5644937153664003e+17 1.0 1e-10 1e-10 1e-10
32266938309.400665 1.2517696173756741e+32 30.99147462988949 1.5495737314944746e+17 1.0 1e-10 1e-10 1e-10
32576655873.031944 1.2719987730299539e+32 30.696827934012518 1.534841396700626e+17 1.0 1e-10 1e-10 1e-10
32888386432.511658 1.2925171182505895e+32 30.405869927733963 1.5202934963866982e+17 1.0 1e-10 1e-10 1e-10
33202143071.218864 1.3133285893469904e+32 30.118537765920472 1.5059268882960237e+17 1.0 1e-10 1e-10 1e-10
33517938957.567482 1.3344371750346313e+32 29.834770009754006 1.4917385004877002e+17 1.0 1e-10 1e-10 1e-10
33835787345.558945 1.355846917125459e+32 29.55450658757179 1.4777253293785894e+17 1.0 1e-10 1e-10 1e-10
34155701575.338512 1.377561911227338e+32 29.277688757007738 1.463884437850387e+17 1.0 1e-10 1e-10 1e-10
34477695073.75513 1.3995863074526776e+32 29.004259068385725 1.4502129534192864e+17 1.0 1e-10 1e-10 1e-10
34801781354.92496 1.4219243111363337e+32 28.734161329316134 1.4367080664658067e+17 1.0 1e-10 1e-10 1e-10
35127974020.798584 1.4445801835629242e+32 28.46734057045019 1.4233670285225094e+17 1.0 1e-10 1e-10 1e-10
35456286761.73187 1.4675582427036804e+32 28.20374301234794 1.410187150617397e+17 1.0 1e-10 1e-10 1e-10
35786733357.06056 1.4908628639629411e+32 27.94331603341785 1.3971658016708925e+17 1.0 1e-10 1e-10 1e-10
36119327675.67859 1.514498480934447e+32 27.686008138887995 1.3843004069443998e+17 1.0 1e-10 1e-10 1e-10
36454083676.62015 1.5384695861675303e+32 27.431768930770044 1.3715884465385022e+17 1.0 1e-10 1e-10 1e-10
36791015409.6456 1.5627807319433507e+32 27.18054907877936 1.359027453938968e+17 1.0 1e-10 1e-10 1e-10
37130137015.831085 1.5874365310613026e+32 26.93230029217593 1.3466150146087965e+17 1.0 1e-10 1e-10 1e-10
37471462728.16205 1.6124416576357247e+32 26.686975292492118 1.3343487646246059e+17 1.0 1e-10 1e-10 1e-10
37815006872.130646 1.6378008479030495e+32 26.444527787114904 1.3222263893557451e+17 1.0 1e-10 1e-10 1e-10
38160783866.3369 1.6635189010395254e+32 26.204912443691665 1.3102456221845832e+17 1.0 1e-10 1e-10 1e-10
38508808223.09393 1.6896006799896554e+32 25.968084865329455 1.2984042432664728e+17 1.0 1e-10 1e-10 1e-10
38859094549.037 1.7160511123054863e+32 25.734001566559453 1.2867000783279726e+17 1.0 1e-10 1e-10 1e-10
39211657545.73654 1.7428751909968952e+32 25.502619950039048 1.2751309975019523e+17 1.0 1e-10 1e-10 1e-10
39566512010.31523 1.7700779753930156e+32 25.273898283965334 1.2636949141982667e+17 1.0 1e-10 1e-10 1e-10
39923672836.068985 1.797664592014944e+32 25.04779568017478 1.252389784008739e+17 1.0 1e-10 1e-10 1e-10
40283155013.09207 1.825640235459883e+32 24.824272072904886 1.2412136036452443e+17 1.0 1e-10 1e-10 1e-10
40644973628.90619 1.8540101692968614e+32 24.603288198194637 1.2301644099097318e+17 1.0 1e-10 1e-10 1e-10
41009143869.09375 1.882779726974194e+32 24.384805573901357 1.2192402786950678e+17 1.0 1e-10 1e-10 1e-10
41375681017.93521 1.9119543127388196e+32 24.168786480312615 1.2084393240156307e+17 1.0 1e-10 1e-10 1e-10
41744600459.05052 1.9415394025676862e+32 23.955193941332666 1.1977596970666333e+17 1.0 1e-10 1e-10 1e-10
42115917676.044815 1.9715405451113326e+32 23.743991706223504 1.1871995853111752e+17 1.0 1e-10 1e-10 1e-10
42489648253.15825 2.001963362649826e+32 23.535144231881702 1.1767572115940851e+17 1.0 1e-10 1e-10 1e-10
42865807875.920044 2.0328135520612263e+32 23.328616665632747 1.1664308332816374e+17 1.0 1e-10 1e-10 1e-10
43244412331.80687 2.064096885802729e+32 23.124374828525212 1.1562187414262606e+17 1.0 1e-10 1e-10 1e-10
43625477510.905396 2.0958192129046534e+32 22.922385199108074 1.1461192599554037e+17 1.0 1e-10 1e-10 1e-10
44009019406.57924 2.1279864599774603e+32 22.72261489767487 1.1361307448837435e+17 1.0 1e-10 1e-10 1e-10
44395054116.14015 2.1606046322319414e+32 22.525031670959095 1.1262515835479547e+17 1.0 1e-10 1e-10 1e-10
44783597841.523705 2.1936798145127816e+32 22.3296038772658 1.1164801938632901e+17 1.0 1e-10 1e-10 1e-10
45174666889.96922 2.2272181723456447e+32 22.136300472025045 1.1068150236012523e+17 1.0 1e-10 1e-10 1e-10
45568277674.704216 2.2612259529979805e+32 21.945090993753276 1.0972545496876638e+17 1.0 1e-10 1e-10 1e-10
45964446715.633286 2.2957094865537137e+32 21.755945550409137 1.0877972775204568e+17 1.0 1e-10 1e-10 1e-10
46363190640.0314 2.3306751870020065e+32 21.568834806131076 1.0784417403065538e+17 1.0 1e-10 1e-10 1e-10
46764526183.241806 2.366129553340281e+32 21.383729968344095 1.0691864984172048e+17 1.0 1e-10 1e-10 1e-10
47168470189.378365 2.4020791706916783e+32 21.200602775223885 1.0600301387611942e+17 1.0 1e-10 1e-10 1e-10
47575039612.03255 2.438530711437148e+32 21.01942548350675 1.0509712741753376e+17 1.0 1e-10 1e-10 1e-10
47984251514.984924 2.4754909363623652e+32 20.840170856634316 1.0420085428317158e+17 1.0 1e-10 1e-10 1e-10
48396123072.92141 2.5129666958196598e+32 20.662812153222244 1.0331406076611122e+17 1.0 1e-10 1e-10 1e-10
48810671572.15401 2.5509649309051497e+32 20.487323115842763 1.0243661557921381e+17 1.0 1e-10 1e-10 1e-10
49227914411.34635 2.5894926746512986e+32 20.313677960111058 1.0156838980055528e+17 1.0 1e-10 1e-10 1e-10
49647869102.243965 2.6285570532350754e+32 20.141851364065943 1.0070925682032971e+17 1.0 1e-10 1e-10 1e-10
50070553270.40918 2.6681652872019313e+32 19.971818457835624 9.985909228917813e+16 1.0 1e-10 1e-10 1e-10
50495984655.96091 2.7083246927058017e+32 19.803554813579673 9.901777406789837e+16 1.0 1e-10 1e-10 1e-10
50924181114.31919 2.7490426827653378e+32 19.63703643569859 9.818518217849294e+16 1.0 1e-10 1e-10 1e-10
51355160616.954605 2.7903267685365795e+32 19.47223975130273 9.736119875651365e+16 1.0 1e-10 1e-10 1e-10
51788941252.1425 2.832184560602293e+32 19.309141600932612 9.654570800466306e+16 1.0 1e-10 1e-10 1e-10
52225541225.72223 2.8746237702781795e+32 19.14771922952285 9.573859614761424e+16 1.0 1e-10 1e-10 1e-10
52664978861.861145 2.917652210936182e+32 18.987950277602383 9.493975138801192e+16 1.0 1e-10 1e-10 1e-10
53107272603.82378 2.961277799345112e+32 18.82981277272369 9.414906386361846e+16 1.0 1e-10 1e-10 1e-10
53552441014.74584 3.0055085570288273e+32 18.67328512111421 9.336642560557104e+16 1.0 1e-10 1e-10 1e-10
54000502778.41334 3.050352611642172e+32 18.51834609954315 9.259173049771576e+16 1.0 1e-10 1e-10 1e-10
54451476700.04672 3.0958181983649424e+32 18.36497484739733 9.182487423698666e+16 1.0 1e-10 1e-10 1e-10
54905381707.09018 3.141913661314082e+32 18.213150858959704 9.106575429479851e+16 1.0 1e-10 1e-10 1e-10
55362236850.005974 3.1886474549743632e+32 18.062853975884682 9.031426987942341e+16 1.0 1e-10 1e-10 1e-10
55822061303.074036 3.2360281456477936e+32 17.9140643798643 8.95703218993215e+16 1.0 1e-10 1e-10 1e-10
56284874365.19669 3.284064412921985e+32 17.76676258547966 8.88338129273983e+16 1.0 1e-10 1e-10 1e-10
56750695460.70865 3.3327650511577416e+32 17.620929433232234 8.810464716616117e+16 1.0 1e-10 1e-10 1e-10
